
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.68275 2.98511 2.97864 0.00596257  44.0006 63.5402 279655 2 0 1
119.3495 24.70775 2.98588 2.9794 0.00596409  0 63.5471 279660 2 0 6
119.3995 24.73275 2.98664 2.98016 0.00596561  44.0004 0 279665 2 0 5
119.4495 24.75775 2.9874 2.98092 0.00596713  44.0007 63.5579 279671 2 0 5
119.4995 24.78275 2.98816 2.98168 0.00596865  44.0006 63.5627 279676 2 0 11
119.5495 24.80775 2.98892 2.98244 0.00597017  44.0004 63.5685 279681 2 0 16
119.5995 24.83275 2.98968 2.9832 0.00597168  44.0003 63.575 279686 2 0 16
119.6495 24.85775 2.99044 2.98396 0.0059732  44.0002 63.577 279691 2 0 18
119.6995 24.88275 2.9912 2.98471 0.00597472  43.9999 63.5813 279696 2 0 25
119.7495 24.90775 2.99195 2.98547 0.00597623  43.9997 63.5834 279699 2 0 18
119.7995 24.93275 2.99271 2.98622 0.00597774  44.0002 63.5878 279703 2 0 25
119.8495 24.95775 2.99347 2.98698 0.00597925  43.9999 63.5937 279708 2 0 47
119.8995 24.98275 2.99422 2.98773 0.00598076  43.9999 63.5965 279713 2 0 42
119.9495 25.00775 2.99498 2.98849 0.00598227  44.0003 63.5996 279718 2 0 66
119.9995 25.03275 2.99573 2.98924 0.00598378  43.9998 0 279723 2 0 62
120.0495 25.05775 2.99649 2.98999 0.00598529  43.9998 63.6065 279728 2 0 77
120.0995 25.08275 2.99724 2.99075 0.00598679  43.9999 63.6119 279733 2 0 100
120.1495 25.10775 2.998 2.9915 0.0059883  44 63.6145 279738 2 0 111
120.1995 25.13275 2.99875 2.99225 0.0059898  44.0003 63.6174 279743 2 0 174
120.2495 25.15775 2.9995 2.993 0.0059913  43.9997 63.6207 279749 2 0 224
120.2995 25.18275 3.00025 2.99375 0.0059928  43.9999 63.6235 279754 2 0 219
120.3495 25.20775 3.001 2.9945 0.0059943  44.0007 63.6272 279759 2 0 306
120.3995 25.23275 3.00175 2.99525 0.0059958  43.9996 63.6289 279764 2 0 386
120.4495 25.25775 3.0025 2.996 0.0059973  44.0002 63.6337 279769 2 0 502
120.4995 25.28275 3.00325 2.99674 0.0059988  43.9998 63.6347 279774 2 0 624
120.5495 25.30775 3.004 2.99749 0.00600029  43.9998 63.6377 279779 2 0 791
120.5995 25.33275 3.00475 2.99824 0.00600179  0 63.6418 279784 2 0 922
120.6495 25.35775 3.0055 2.99898 0.00600328  43.9998 63.6414 279789 2 0 1089
120.6995 25.38275 3.00624 2.99973 0.00600477  43.9999 63.6471 279795 2 0 1124
120.7495 25.40775 3.00699 3.00047 0.00600626  43.9998 63.6487 279800 2 0 1251
120.7995 25.43275 3.00774 3.00122 0.00600775  0 63.6498 279805 2 0 1309
120.8495 25.45775 3.00848 3.00196 0.00600924  44 63.6524 279810 2 0 1280
120.8995 25.48275 3.00923 3.0027 0.00601073  43.9995 63.6549 279815 2 0 1278
120.9495 25.50775 3.00997 3.00345 0.00601222  44.0001 63.6569 279820 2 0 1157
120.9995 25.53275 3.01071 3.00419 0.0060137  0 63.6611 279825 2 0 1132
121.0495 25.55775 3.01146 3.00493 0.00601518  44.0001 63.6592 279830 2 0 973
121.0995 25.58275 3.0122 3.00567 0.00601667  43.9997 63.6651 279835 2 0 827
121.1495 25.60775 3.01294 3.00641 0.00601815  43.9992 63.6641 279841 2 0 753
121.1995 25.63275 3.01368 3.00715 0.00601963  0 63.6652 279846 2 0 698
121.2495 25.65775 3.01442 3.00789 0.00602111  0 63.6664 279851 2 0 613
121.2995 25.68275 3.01516 3.00863 0.00602259  44.0003 63.6694 279856 2 0 482
121.3495 25.70775 3.0159 3.00937 0.00602407  43.9998 63.6714 279861 2 0 450
121.3995 25.73275 3.01664 3.0101 0.00602554  44.0002 63.6713 279866 2 0 362
121.4495 25.75775 3.01738 3.01084 0.00602702  0 63.6729 279871 2 0 253
121.4995 25.78275 3.01812 3.01158 0.00602849  43.9997 63.6757 279876 2 0 233
121.5495 25.80775 3.01886 3.01231 0.00602996  43.9999 63.6779 279881 2 0 179
121.5995 25.83275 3.01959 3.01305 0.00603143  43.9998 63.6776 279886 2 0 143
121.6495 25.85775 3.02033 3.01378 0.0060329  0 63.6804 279892 2 0 101
121.6995 25.88275 3.02106 3.01451 0.00603437  43.9999 63.6798 279897 2 0 94
121.7495 25.90775 3.0218 3.01525 0.00603584  43.9996 63.6807 279902 2 0 62
121.7995 25.93275 3.02253 3.01598 0.00603731  43.9999 63.6838 279907 2 0 46
121.8495 25.95775 3.02327 3.01671 0.00603877  43.9998 0 279912 2 0 29
121.8995 25.98275 3.024 3.01744 0.00604024  43.9998 63.6873 279917 2 0 26
121.9495 26.00775 3.02473 3.01818 0.0060417  44.0001 63.6856 279922 2 0 22
121.9995 26.03275 3.02546 3.01891 0.00604316  43.9999 63.6868 279927 2 0 16
122.0495 26.05775 3.0262 3.01964 0.00604462  0 63.6876 279933 2 0 10
122.0995 26.08275 3.02693 3.02037 0.00604608  43.9999 63.6891 279938 2 0 7
122.1495 26.10775 3.02766 3.02109 0.00604754  44.0006 63.6888 279943 2 0 9
122.1995 26.13275 3.02839 3.02182 0.006049  43.9997 63.69 279948 2 0 2
122.2495 26.15775 3.02912 3.02255 0.00605046  0 63.6909 279953 2 0 9
122.2995 26.18275 3.02984 3.02328 0.00605191  43.9997 63.6918 279958 2 0 8
#C Fri May 10 20:27:28 2019.  Temperature Setpoint at 45.
#C Fri May 10 20:27:30 2019.  Temperature Setpoint at 45.

#S 105  ascan  th 24.8327 26.0328  40 2
#D Fri May 10 20:29:30 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007736606 3.001216724 0.006007753454 1.5406 -4.345223454 4.385668066 -35 81.13531704 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00774 3.00122 0.00600775
#P0 120.7995 25.43275 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 44.005K  63.6915K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.83275 2.97652 3.03217 -0.0179455  45.01 64.1038 280097 2 0 6
24.86275 2.97809 3.03063 -0.0167479  45.0096 64.1127 280100 2 0 4
24.89275 2.97966 3.02909 -0.0155502  45.009 64.1178 280103 2 0 9
24.92275 2.98122 3.02755 -0.0143526  45.0083 64.1257 280106 2 0 2
24.95275 2.98279 3.02601 -0.0131549  45.008 64.1354 280109 2 0 8
24.98275 2.98436 3.02447 -0.0119573  45.0074 64.1438 280112 2 0 10
25.01275 2.98592 3.02292 -0.0107596  45.007 64.1484 280115 2 0 15
25.04275 2.98748 3.02138 -0.00956197  45.0067 64.1583 280118 2 0 19
25.07275 2.98905 3.01983 -0.0083643  45.006 64.1623 280121 2 0 36
25.10275 2.99061 3.01828 -0.00716664  0 64.1713 280124 2 0 55
25.13275 2.99217 3.01674 -0.00596897  45.0051 64.1745 280127 2 0 87
25.16275 2.99373 3.01519 -0.0047713  0 64.1825 280130 2 0 156
25.19275 2.99529 3.01364 -0.00357363  0 64.1869 280133 2 0 242
25.22275 2.99685 3.01209 -0.00237595  0 64.1942 280136 2 0 314
25.25275 2.99841 3.01054 -0.00117828  0 64.2001 280139 2 0 464
25.28275 2.99996 3.00899 1.93928e-05  0 64.2049 280142 2 0 619
25.31275 3.00152 3.00743 0.00121707  0 64.2088 280145 2 0 781
25.34275 3.00308 3.00588 0.00241474  0 64.2175 280148 2 0 929
25.37275 3.00463 3.00433 0.00361241  0 64.2259 280151 2 0 1148
25.40275 3.00618 3.00277 0.00481008  0 64.2291 280154 2 0 1235
25.43275 3.00774 3.00122 0.00600775  0 64.2336 280157 2 0 1278
25.46275 3.00929 2.99966 0.00720542  0 64.239 280160 2 0 1313
25.49275 3.01084 2.9981 0.00840309  0 64.2467 280163 2 0 1161
25.52275 3.01239 2.99654 0.00960075  0 64.2521 280166 2 0 984
25.55275 3.01394 2.99499 0.0107984  0 64.2557 280169 2 0 794
25.58275 3.01549 2.99343 0.0119961  0 64.2604 280172 2 0 566
25.61275 3.01704 2.99187 0.0131937  0 64.2654 280175 2 0 400
25.64275 3.01858 2.9903 0.0143914  0 64.2682 280178 2 0 195
25.67275 3.02013 2.98874 0.015589  0 64.2751 280181 2 0 130
25.70275 3.02168 2.98718 0.0167867  0 64.2796 280184 2 0 85
25.73275 3.02322 2.98561 0.0179843  0 64.2821 280187 2 0 53
25.76275 3.02476 2.98405 0.0191819  45.0013 64.2866 280190 2 0 38
25.79275 3.02631 2.98248 0.0203796  0 64.2911 280193 2 0 35
25.82275 3.02785 2.98092 0.0215772  0 64.2951 280196 2 0 18
25.85275 3.02939 2.97935 0.0227748  45.0009 64.3004 280199 2 0 21
25.88275 3.03093 2.97778 0.0239724  45.0009 64.3053 280202 2 0 13
25.91275 3.03247 2.97621 0.02517  45.0009 64.3069 280205 2 0 11
25.94275 3.03401 2.97464 0.0263676  0 64.3101 280208 2 0 9
25.97275 3.03555 2.97307 0.0275652  0 64.3168 280211 2 0 15
26.00275 3.03709 2.9715 0.0287628  0 64.3194 280214 2 0 4
26.03275 3.03862 2.96993 0.0299604  0 64.3232 280217 2 0 10

#S 106  a2scan  tth 119.299 122.299  th 24.6803 26.1803  60 2
#D Fri May 10 20:31:42 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007607223 3.001346399 0.005907947667 1.5406 -4.345559891 4.385332604 -35 81.13531604 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00761 3.00135 0.00590795
#P0 120.7995 25.43025 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  64.3232K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.68025 2.98498 2.97877 0.00586351  45.0004 64.341 280234 2 0 4
119.3495 24.70525 2.98575 2.97953 0.00586501  45.0005 64.3453 280239 2 0 0
119.3995 24.73025 2.98651 2.98029 0.0058665  45.0004 64.3514 280244 2 0 4
119.4495 24.75525 2.98727 2.98105 0.005868  45.0002 64.3575 280249 2 0 5
119.4995 24.78025 2.98803 2.98181 0.00586949  45.0003 64.3599 280252 2 0 6
119.5495 24.80525 2.98879 2.98257 0.00587099  45.0003 64.3665 280257 2 0 9
119.5995 24.83025 2.98955 2.98333 0.00587248  45.0001 64.3691 280263 2 0 15
119.6495 24.85525 2.99031 2.98408 0.00587397  0 64.3753 280268 2 0 16
119.6995 24.88025 2.99107 2.98484 0.00587546  45.0001 64.3782 280271 2 0 21
119.7495 24.90525 2.99183 2.9856 0.00587695  45.0001 64.3822 280276 2 0 21
119.7995 24.93025 2.99258 2.98635 0.00587843  45.0001 64.3848 280281 2 0 36
119.8495 24.95525 2.99334 2.98711 0.00587992  0 64.389 280286 2 0 30
119.8995 24.98025 2.9941 2.98786 0.00588141  44.9999 64.3941 280291 2 0 46
119.9495 25.00525 2.99485 2.98862 0.00588289  45 64.3977 280296 2 0 57
119.9995 25.03025 2.99561 2.98937 0.00588437  44.9999 64.402 280301 2 0 59
120.0495 25.05525 2.99636 2.99012 0.00588585  45.0002 64.4046 280307 2 0 91
120.0995 25.08025 2.99711 2.99088 0.00588734  44.9999 64.4066 280312 2 0 121
120.1495 25.10525 2.99787 2.99163 0.00588882  45.0001 64.4098 280317 2 0 121
120.1995 25.13025 2.99862 2.99238 0.00589029  44.9999 64.4144 280322 2 0 164
120.2495 25.15525 2.99937 2.99313 0.00589177  45 64.4154 280327 2 0 217
120.2995 25.18025 3.00012 2.99388 0.00589325  0 64.4211 280332 2 0 270
120.3495 25.20525 3.00087 2.99463 0.00589472  45 0 280337 2 0 340
120.3995 25.23025 3.00162 2.99538 0.0058962  45.0001 64.4244 280343 2 0 367
120.4495 25.25525 3.00237 2.99612 0.00589767  45.0001 64.4288 280348 2 0 511
120.4995 25.28025 3.00312 2.99687 0.00589914  45 64.4321 280353 2 0 607
120.5495 25.30525 3.00387 2.99762 0.00590061  45 64.4327 280358 2 0 756
120.5995 25.33025 3.00462 2.99837 0.00590208  44.9998 0 280363 2 0 910
120.6495 25.35525 3.00537 2.99911 0.00590355  44.9999 64.4371 280368 2 0 1071
120.6995 25.38025 3.00612 2.99986 0.00590502  44.9999 64.4363 280373 2 0 1159
120.7495 25.40525 3.00686 3.0006 0.00590648  44.9999 64.4392 280378 2 0 1237
120.7995 25.43025 3.00761 3.00135 0.00590795  44.9999 64.4426 280384 2 0 1332
120.8495 25.45525 3.00835 3.00209 0.00590941  44.9999 64.4449 280389 2 0 1307
120.8995 25.48025 3.0091 3.00283 0.00591087  45 64.4476 280394 2 0 1224
120.9495 25.50525 3.00984 3.00358 0.00591234  44.9999 64.449 280399 2 0 1234
120.9995 25.53025 3.01058 3.00432 0.0059138  44.9999 64.4501 280404 2 0 1044
121.0495 25.55525 3.01133 3.00506 0.00591526  44.9999 64.4532 280409 2 0 947
121.0995 25.58025 3.01207 3.0058 0.00591671  45 64.453 280414 2 0 880
121.1495 25.60525 3.01281 3.00654 0.00591817  44.9999 64.4545 280419 2 0 763
121.1995 25.63025 3.01355 3.00728 0.00591963  44.9999 64.4562 280425 2 0 683
121.2495 25.65525 3.01429 3.00802 0.00592108  44.9999 64.4596 280430 2 0 612
121.2995 25.68025 3.01503 3.00876 0.00592254  45 64.4603 280435 2 0 490
121.3495 25.70525 3.01577 3.0095 0.00592399  44.9999 64.4634 280440 2 0 424
121.3995 25.73025 3.01651 3.01023 0.00592544  0 64.4636 280445 2 0 359
121.4495 25.75525 3.01725 3.01097 0.00592689  44.9999 64.4628 280450 2 0 267
121.4995 25.78025 3.01799 3.01171 0.00592834  44.9998 64.4666 280455 2 0 232
121.5495 25.80525 3.01873 3.01244 0.00592979  44.9999 64.4667 280460 2 0 173
121.5995 25.83025 3.01946 3.01318 0.00593123  0 64.4656 280465 2 0 147
121.6495 25.85525 3.0202 3.01391 0.00593268  44.9999 64.4697 280470 2 0 95
121.6995 25.88025 3.02093 3.01464 0.00593412  44.9999 64.4678 280475 2 0 78
121.7495 25.90525 3.02167 3.01538 0.00593557  44.9999 64.4713 280480 2 0 84
121.7995 25.93025 3.0224 3.01611 0.00593701  0 64.4718 280486 2 0 50
121.8495 25.95525 3.02314 3.01684 0.00593845  44.9998 64.4724 280491 2 0 44
121.8995 25.98025 3.02387 3.01757 0.00593989  44.9999 64.4741 280496 2 0 31
121.9495 26.00525 3.0246 3.01831 0.00594133  45 64.4734 280501 2 0 15
121.9995 26.03025 3.02533 3.01904 0.00594277  45 64.4748 280506 2 0 13
122.0495 26.05525 3.02607 3.01977 0.00594421  0 64.4756 280511 2 0 8
122.0995 26.08025 3.0268 3.0205 0.00594564  44.9998 64.4763 280516 2 0 7
122.1495 26.10525 3.02753 3.02122 0.00594708  44.9999 64.4775 280522 2 0 6
122.1995 26.13025 3.02826 3.02195 0.00594851  44.9999 64.476 280527 2 0 3
122.2495 26.15525 3.02899 3.02268 0.00594994  0 64.4793 280532 2 0 1
122.2995 26.18025 3.02971 3.02341 0.00595137  44.9999 64.477 280537 2 0 5
#C Fri May 10 20:37:07 2019.  Temperature Setpoint at 46.
#C Fri May 10 20:37:08 2019.  Temperature Setpoint at 46.

#S 107  ascan  th 24.8302 26.0303  40 2
#D Fri May 10 20:39:09 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007607223 3.001346399 0.005907947667 1.5406 -4.345559891 4.385332604 -35 81.13531604 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00761 3.00135 0.00590795
#P0 120.7995 25.43025 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 45.004K  64.479K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.83025 2.97639 3.0323 -0.0180453  46.0106 64.8932 280675 2 0 2
24.86025 2.97796 3.03076 -0.0168477  46.0101 64.9019 280678 2 0 5
24.89025 2.97953 3.02922 -0.01565  46.0093 64.9109 280681 2 0 4
24.92025 2.98109 3.02768 -0.0144524  46.0088 64.9182 280684 2 0 7
24.95025 2.98266 3.02614 -0.0132547  46.0082 64.9267 280687 2 0 17
24.98025 2.98423 3.02459 -0.0120571  46.0076 64.9333 280690 2 0 13
25.01025 2.98579 3.02305 -0.0108594  46.0073 64.943 280693 2 0 18
25.04025 2.98735 3.02151 -0.00966177  46.0067 64.948 280696 2 0 22
25.07025 2.98892 3.01996 -0.00846411  46.0064 64.9563 280699 2 0 41
25.10025 2.99048 3.01841 -0.00726644  46.0059 64.9603 280702 2 0 51
25.13025 2.99204 3.01687 -0.00606877  0 64.9697 280705 2 0 92
25.16025 2.9936 3.01532 -0.0048711  0 64.9739 280708 2 0 146
25.19025 2.99516 3.01377 -0.00367343  0 64.9811 280711 2 0 208
25.22025 2.99672 3.01222 -0.00247576  0 64.9875 280714 2 0 327
25.25025 2.99828 3.01067 -0.00127809  0 64.9942 280717 2 0 418
25.28025 2.99983 3.00912 -8.04133e-05  0 65.0016 280720 2 0 585
25.31025 3.00139 3.00756 0.00111726  0 65.0071 280723 2 0 784
25.34025 3.00295 3.00601 0.00231493  0 65.011 280726 2 0 925
25.37025 3.0045 3.00446 0.00351261  0 65.0177 280729 2 0 1145
25.40025 3.00605 3.0029 0.00471028  0 65.0244 280732 2 0 1313
25.43025 3.00761 3.00135 0.00590795  0 65.0309 280735 2 0 1301
25.46025 3.00916 2.99979 0.00710562  0 65.0367 280738 2 0 1237
25.49025 3.01071 2.99823 0.00830328  0 65.041 280741 2 0 1167
25.52025 3.01226 2.99667 0.00950095  0 65.0451 280744 2 0 1033
25.55025 3.01381 2.99512 0.0106986  0 65.0504 280747 2 0 771
25.58025 3.01536 2.99356 0.0118963  0 65.0564 280750 2 0 555
25.61025 3.01691 2.992 0.0130939  0 65.0621 280753 2 0 367
25.64025 3.01846 2.99043 0.0142916  0 65.0672 280756 2 0 233
25.67025 3.02 2.98887 0.0154892  0 65.0704 280759 2 0 151
25.70025 3.02155 2.98731 0.0166869  0 65.0789 280762 2 0 102
25.73025 3.02309 2.98574 0.0178845  0 65.0805 280765 2 0 61
25.76025 3.02464 2.98418 0.0190821  0 65.0858 280768 2 0 46
25.79025 3.02618 2.98261 0.0202798  0 65.0891 280771 2 0 32
25.82025 3.02772 2.98105 0.0214774  0 65.0921 280774 2 0 21
25.85025 3.02926 2.97948 0.022675  0 65.0996 280777 2 0 16
25.88025 3.0308 2.97791 0.0238726  0 65.1045 280780 2 0 8
25.91025 3.03234 2.97634 0.0250702  0 65.1092 280783 2 0 10
25.94025 3.03388 2.97477 0.0262678  0 65.1108 280786 2 0 8
25.97025 3.03542 2.9732 0.0274654  0 65.1153 280789 2 0 9
26.00025 3.03696 2.97163 0.028663  46.0008 65.1188 280792 2 0 10
26.03025 3.03849 2.97006 0.0298606  0 65.1243 280795 2 0 6

#S 108  a2scan  tth 119.299 122.299  th 24.6785 26.1785  60 2
#D Fri May 10 20:41:21 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007516651 3.001437168 0.005838083609 1.5406 -4.345795393 4.385097776 -35 81.13531536 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00752 3.00144 0.00583808
#P0 120.7995 25.4285 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  65.1243K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.6785 2.9849 2.97886 0.00579417  46.0004 65.1428 280812 2 0 7
119.3495 24.7035 2.98566 2.97962 0.00579565  46.0004 65.1478 280817 2 0 7
119.3995 24.7285 2.98642 2.98038 0.00579713  0 65.1552 280822 2 0 8
119.4495 24.7535 2.98718 2.98114 0.00579861  46.0003 65.1592 280827 2 0 5
119.4995 24.7785 2.98794 2.9819 0.00580008  46.0003 65.1651 280832 2 0 7
119.5495 24.8035 2.9887 2.98266 0.00580156  46.0004 0 280837 2 0 9
119.5995 24.8285 2.98946 2.98342 0.00580303  46.0004 65.1765 280842 2 0 13
119.6495 24.8535 2.99022 2.98417 0.00580451  46.0001 65.1807 280847 2 0 21
119.6995 24.8785 2.99098 2.98493 0.00580598  46.0002 65.1864 280852 2 0 24
119.7495 24.9035 2.99174 2.98569 0.00580745  46.0001 65.1908 280857 2 0 23
119.7995 24.9285 2.99249 2.98644 0.00580892  46.0001 65.1946 280862 2 0 31
119.8495 24.9535 2.99325 2.9872 0.00581039  0 65.1989 280868 2 0 34
119.8995 24.9785 2.99401 2.98795 0.00581186  46.0002 65.2002 280871 2 0 39
119.9495 25.0035 2.99476 2.98871 0.00581332  46 65.204 280876 2 0 57
119.9995 25.0285 2.99552 2.98946 0.00581479  46 65.2093 280881 2 0 54
120.0495 25.0535 2.99627 2.99021 0.00581625  46 65.2121 280886 2 0 77
120.0995 25.0785 2.99702 2.99097 0.00581772  46.0001 65.2147 280891 2 0 106
120.1495 25.1035 2.99778 2.99172 0.00581918  46 65.2178 280896 2 0 142
120.1995 25.1285 2.99853 2.99247 0.00582064  46.0001 65.2231 280901 2 0 153
120.2495 25.1535 2.99928 2.99322 0.0058221  46 0 280907 2 0 179
120.2995 25.1785 3.00003 2.99397 0.00582356  46.0002 65.23 280912 2 0 231
120.3495 25.2035 3.00078 2.99472 0.00582501  46 65.2309 280917 2 0 309
120.3995 25.2285 3.00153 2.99547 0.00582647  46.0001 65.237 280922 2 0 364
120.4495 25.2535 3.00228 2.99622 0.00582793  0 65.2368 280927 2 0 476
120.4995 25.2785 3.00303 2.99696 0.00582938  46 65.2388 280932 2 0 616
120.5495 25.3035 3.00378 2.99771 0.00583083  46 65.2431 280937 2 0 760
120.5995 25.3285 3.00453 2.99846 0.00583229  45.9999 65.2462 280942 2 0 900
120.6495 25.3535 3.00528 2.9992 0.00583374  0 65.2496 280947 2 0 1034
120.6995 25.3785 3.00602 2.99995 0.00583519  46 65.251 280953 2 0 1192
120.7495 25.4035 3.00677 3.00069 0.00583664  45.9999 65.2534 280958 2 0 1231
120.7995 25.4285 3.00752 3.00144 0.00583808  46 65.2567 280963 2 0 1302
120.8495 25.4535 3.00826 3.00218 0.00583953  45.9999 65.2584 280968 2 0 1258
120.8995 25.4785 3.00901 3.00292 0.00584098  46 65.259 280973 2 0 1244
120.9495 25.5035 3.00975 3.00367 0.00584242  46 65.2624 280978 2 0 1174
120.9995 25.5285 3.01049 3.00441 0.00584386  45.9998 65.2627 280983 2 0 1046
121.0495 25.5535 3.01124 3.00515 0.00584531  45.9998 65.2681 280988 2 0 886
121.0995 25.5785 3.01198 3.00589 0.00584675  46 65.2687 280994 2 0 906
121.1495 25.6035 3.01272 3.00663 0.00584819  46 65.2711 280999 2 0 759
121.1995 25.6285 3.01346 3.00737 0.00584962  46 65.2713 281004 2 0 722
121.2495 25.6535 3.0142 3.00811 0.00585106  46 65.2733 281009 2 0 576
121.2995 25.6785 3.01494 3.00885 0.0058525  0 65.2777 281014 2 0 506
121.3495 25.7035 3.01568 3.00959 0.00585393  45.9997 65.2744 281019 2 0 396
121.3995 25.7285 3.01642 3.01032 0.00585537  46 65.2737 281024 2 0 332
121.4495 25.7535 3.01716 3.01106 0.0058568  46 65.2826 281029 2 0 287
121.4995 25.7785 3.0179 3.0118 0.00585823  0 65.2823 281034 2 0 243
121.5495 25.8035 3.01863 3.01253 0.00585967  45.9998 65.2818 281039 2 0 193
121.5995 25.8285 3.01937 3.01327 0.00586109  45.9999 65.2846 281044 2 0 160
121.6495 25.8535 3.02011 3.014 0.00586252  46 65.2808 281050 2 0 129
121.6995 25.8785 3.02084 3.01474 0.00586395  0 65.2874 281055 2 0 88
121.7495 25.9035 3.02158 3.01547 0.00586538  46.0001 65.2877 281060 2 0 60
121.7995 25.9285 3.02231 3.0162 0.0058668  45.9998 65.2865 281065 2 0 56
121.8495 25.9535 3.02305 3.01693 0.00586823  46 65.2891 281070 2 0 30
121.8995 25.9785 3.02378 3.01767 0.00586965  0 65.2894 281075 2 0 24
121.9495 26.0035 3.02451 3.0184 0.00587107  45.9998 65.2901 281080 2 0 20
121.9995 26.0285 3.02524 3.01913 0.00587249  45.9998 65.2916 281086 2 0 24
122.0495 26.0535 3.02597 3.01986 0.00587391  45.9998 65.2919 281091 2 0 14
122.0995 26.0785 3.02671 3.02059 0.00587533  0 65.2921 281096 2 0 11
122.1495 26.1035 3.02744 3.02132 0.00587675  45.9999 65.2912 281101 2 0 11
